account_id,acct_name,acct_type,amount,detail_category,entry_date,entry_text,gv_code,holder_name,payee_payer_name,paymt_purpose,turnover_id,user_id
00361665-ca77-4738-81c3-2c11f7b91162,Termineinlage,FESTGELDKONTO,150.0,income_crossbooking,,DAUERAUFTRAG,52.0,Marten Zimmer,Marten Zimmer,Sparen Iban: De14886842692De02239145638737677102 Bic: Genodef3Fsr,8e8bc000-5f82-11e7-ebb8-78c6de807733,fae10f60-53a5-439f-8a6d-229313500240
006a7413-db62-4fef-845b-e215984b17f4,GiroPur,GIROKONTO,-17.63,expenses_food,2020-08-03,KARTENZAHLUNG,106.0,Ramazan Zita Paulina Ruppert,Aldi Gmbh Co Kg Horst,6909-93-99T75.09 Debitk.0 8552-48,46184e20-d51c-11ea-ba6f-563059d1fe76,b6c97540-1906-4ea4-8912-ef26c68a4a75
00bac6c9-f290-4c75-bc51-93317f777589,Girokonto,GIROKONTO,-24.99,bills_communication,,,5.0,Meik Fritsch,Vodafone Shop Neue Mitte,Lastschrift/Belast. Kartenzahlung Elektromeier Heiko Meier//Jen 5172-58-98T03:05:41 Kfn 6 Vj 2843 Ref. 5963059650261012/3541,ecb5cef0-44ca-11e7-cb51-e9e15bfd0d3d,65f3b015-098a-416d-bdcb-5b94b87b927d
01304117-82e5-494b-8818-85b35e814e9e,Giro Plus,GIROKONTO,-483.0,home_rent,,ONLINE-UEBERWEISUNG,177.0,Thoralf Branko Gunpf,Gsw Ges F S U W B W Mbh,"Kref+-747747976-54512557277709 Svwz+966763866 Mieter. Uddin Baber,Riaz  Uddin Riaz, Unaza Datum 81.53.4986, 62.77 Uhr8.Tan 129611",2168f290-a960-11e7-b46e-c4839d8e08b7,e4a0886b-f9a5-428a-9198-03d7afc750dd
015561d0-2e2f-4270-8ad5-e35a489cf811,"GiroStart (Schüler, Studenten",GIROKONTO,-51.26,bills_communication,,FOLGELASTSCHRIFT,105.0,Cemil Höfig,Telefonica Germany Gmbh Co Ohg,"Eref+55012069847165751696640893602841 Mref+701555015786314648447847 Cred+De6644511927529186 Svwz+Kd-Nr.. 0327614358, Rg-Nr.. 8557267255/66, Ihre Mobilfunkrechnung. Details Unter Www.Rechnung.Telefonica.De",ee7ed110-3679-11e6-cc96-eaa305324eb2,978b7f55-19af-4493-a9e7-548e91a1b3c7
01cdd030-cd2f-4e5d-86e7-793a49680469,Naspa-Geschäftskonto,GIROKONTO,-1800.0,home_rent,,DAUERAUFTRAG,117.0,Siegward Eberhardt,Melissa G G,Svwz+Fahrschule Emberger Miete+Umn,5d9027d0-764c-11e7-5e53-1414e0d83791,3adaaa7e-5a6b-4ae8-b567-ea8be23bdf67
01f90a4d-2079-4bdc-ab5b-1b4f393836ba,Kontokorrent,GIROKONTO,355.0,income_rent,,Dauerauftragsgutschr,152.0,Gesche Und Ilja Margraf,Annita Podgorska,"Purp+Rinp Dauerauftrag/Ratesvwz+Miete Bahnstr. 361, Iban: De86124956 683062748833 Bic: Nolade73Sho",ba202550-652e-11e8-0a87-19988de445be,ee5b702b-cb48-4ad6-a8bb-f0ea73237df7
023830ca-a5d6-4027-82d9-9aa36f69b27f,Sichteinlagen,GIROKONTO,-200.0,financial_loan_payment,,EINZUG RATE/ANNUITAET,601.0,Christos Mühle,Sparkasse Olpe Stanislav Wenden,"Darl.-Leistung  958975346 Für 87.71.3547 - 03.34.0238Zinsen               46,50 Tilgung             537,63",96972950-3e55-11e6-2e50-99241dc0f45c,b168877f-4e13-42ba-83de-34dd3f74d12e
02442e9e-90ab-425f-ac34-9fab872295b6,Kontokorrent,GIROKONTO,-70.0,financial_loan_payment,,Dauerauftragsbelast.,8.0,Ines Junken,Santander Consumer Fechner,Fide88613438910918601948Zierungs Nr. 2499932543 Iban: De42681516482622016410 Bic: Scfbde77Xxx,0786b7a0-f987-11e7-efb1-e06771e3384e,5c6d611c-eecc-46f2-90d7-de81a6360047
026e92c7-377b-4989-b21c-ab31a8b1f31c,Kontokorrent,GIROKONTO,540.0,income_rent,,Dauerauftragsgutschr,152.0,Hans-Uwe Bolnbach,Sergej Leo Peixoto,Eref+49716316232737174281 Purp+Rinp Dauerauftrag/Ratesvwz+Miete Eref: 93845988616511198107 Iban: De63281734926638930716 Bic: Soladest534,f3bd3bd0-36d1-11e8-65fe-c264fe371a21,d6d9cbf1-5611-4087-a953-c47d9d79f5c7
